playerId,name,I_F_flurryAdjustedxGoals,games_played
8465058,Michal Rozsival,20.59,484
8465059,Matt Bradley,24.68,264
8465067,Jesse Boulerice,0,2
8465113,Brian Willsie,4.57,47
8465122,Brett Clark,17.93,312
8465166,Craig Adams,36.98,488
8465170,Fernando Pisani,15.86,138
8465175,Dan Hinote,2.15,51
8465185,Willie Mitchell,18.01,450
8465192,Samuel Pahlsson,30.22,305
8465200,Tomas Kaberle,24.13,302
8465202,Sami Salo,24.12,340
8465210,Pavel Kubina,22.73,305
8465914,Francis Bouillon,13.88,345
8465951,Matt Cooke,70.42,462
8465968,Brett McLean,9.65,80
8465978,Shawn Thornton,53.92,566
8465992,Aaron Downey,0.12,4
8466035,Sergei Samsonov,44.26,230
8466138,Joe Thornton,162.89,958
8466139,Patrick Marleau,316.38,982
8466140,Olli Jokinen,121.23,508
8466142,Eric Brewer,23.76,414
8466144,Paul Mara,8.65,171
8466145,Nick Boynton,6.45,168
8466147,Jason Ward,0.27,1
8466148,Marian Hossa,199.79,607
8466149,Daniel Cleary,88.9,397
8466158,Scott Hannan,15.95,465
8466160,Brenden Morrow,86.33,417
8466181,Kristian Huselius,44.81,188
8466182,Henrik Tallinder,13.14,358
8466202,Maxim Afinogenov,26.89,130
8466203,Josef Melichar,0.44,39
8466212,Francis Lessard,0.54,24
8466215,Joe Corvo,39.06,354
8466216,Adam Mair,17.9,209
8466232,Quintin Laing,2.82,37
8466251,Jason Chimera,115.31,734
8466260,Kyle Calder,11.46,88
8466266,Mike York,0.03,1
8466285,Brian Campbell,47.89,671
8466292,Todd Fedoruk,7.64,122
8466300,Ben Guite,5.26,56
8466309,Mike Mottau,7.53,222
8466333,Andrew Ference,19.01,435
8466371,John Madden,32.26,262
8466378,Martin St. Louis,161.51,526
8466392,Todd White,27.02,165
8466393,Pascal Dupuis,90,435
8466398,Tom Kostopoulos,39.61,331
8466399,Eric Perrin,11.03,78
8467096,Dan Boyle,85.48,569
8467304,Andy Sutton,6.37,185
8467329,Vincent Lecavalier,144.25,502
8467330,David Legwand,101.67,587
8467331,Brad Stuart,27.29,476
8467332,Bryan Allen,11.23,350
8467334,Manny Malhotra,46.49,434
8467335,Mark Bell,0,5
8467336,Mike Rupp,21.49,346
8467338,Alex Tanguay,79.53,479
8467343,Martin Skoula,3.58,133
8467344,Robyn Regehr,13.48,497
8467346,Simon Gagne,80.03,295
8467348,Christian Backman,2.66,56
8467350,Mike Van Ryn,2.86,27
8467351,Scott Gomez,74.82,450
8467353,Nik Antropov,69.21,341
8467354,Dmitri Kalinin,3.26,72
8467355,Andrew Peters,1.22,57
8467357,Jonathan Cheechoo,21.73,127
8467361,Blair Betts,18.89,219
8467365,John Erskine,7.76,270
8467369,Ossi Vaananen,0.7,49
8467370,Mike Fisher,127.03,641
8467371,Mike Ribeiro,109.92,641
8467389,Brad Richards,125.66,561
8467392,Alex Henry,0,2
8467393,Jarkko Ruutu,21.99,233
8467396,Erik Cole,120.54,474
8467400,Francois Beauchemin,46.35,676
8467407,Brian Gionta,169.02,634
8467408,Matt Walker,4.21,139
8467412,Alexei Ponikarovsky,72.22,343
8467422,Rob Davison,0.42,24
8467423,Shawn Horcoff,89.16,528
8467428,Krys Barch,12.27,306
8467436,Jay Leach,1.69,65
8467439,Jaroslav Spacek,17.41,259
8467452,Rob Scuderi,9.08,564
8467463,Mikael Samuelsson,60.9,313
8467466,Trent Hunter,34.64,170
8467478,Kent Huskins,5.58,208
8467483,Tyler Arnason,10.64,71
8467491,Rickard Wallin,6.6,60
8467493,Chris Neil,72.39,575
8467496,Andrei Markov,51.72,497
8467502,Ales Kotalik,33.58,172
8467514,Pavel Datsyuk,138.57,507
8467519,Karlis Skrastins,7.64,232
8467531,Jonas Frogren,0.41,41
8467543,Toby Petersen,20.52,234
8467545,Michael Ryder,113.26,491
8467579,Trevor Gillies,1.01,56
8467580,Mark Eaton,7.99,265
8467583,Dean Arsene,0.05,13
8467831,Jeff Halpern,32.79,379
8467844,Jason Blake,74.13,280
8467856,Brian Rafalski,21.15,218
8467857,Jason Krog,0.52,4
8467875,Daniel Sedin,221.03,728
8467876,Henrik Sedin,136.73,782
8467878,Tim Connolly,52.98,259
8467881,Taylor Pyatt,56.52,395
8467882,Jamie Lundmark,10.4,63
8467890,Barret Jackman,17.61,567
8467899,Martin Havlat,88.22,401
8467905,Michael Ryan,2.2,18
8467906,Jonas Andersson,0.09,4
8467909,Alexei Semenov,1,47
8467910,Nolan Yonkman,0.53,26
8467915,Mike Commodore,7.11,188
8467917,Jordan Leopold,26.64,423
8467925,Adam Hall,38.16,330
8467927,Andrew Hutchinson,2.04,45
8467928,Doug Janik,0.86,44
8467931,Matt Carkner,5.99,236
8467937,Michael Zigomanis,2.28,30
8467939,Dan Jancevski,0.06,3
8467943,Niklas Hagman,64.88,288
8467949,Frantisek Kaberle,1.69,30
8467956,Niclas Havelid,2.97,78
8467964,Mike Comrie,26.55,127
8467967,Chris Kelly,80.03,602
8467977,Brian McGrattan,6.78,174
8467988,Ryan Malone,88.38,348
8468001,Derek MacKenzie,55.78,564
8468064,Martin Erat,81.94,474
8468083,Henrik Zetterberg,189.58,725
8468085,Radim Vrbata,154.05,633
8468086,Alexandre Giroux,7.35,38
8468090,Garnet Exelby,2.25,110
8468095,George Parros,11.48,316
8468101,Radek Martinek,7.94,164
8468113,Jeff Finger,4.57,104
8468114,Douglas Murray,13.48,382
8468121,Darren Haydar,0.02,1
8468162,Jerred Smithson,25.19,365
8468172,Ruslan Fedotenko,54.24,330
8468184,Lawrence Nycholat,0.44,19
8468208,Joel Ward,136.96,714
8468213,Jim Vandermeer,7.29,194
8468224,Sean Avery,32.69,201
8468252,Eric Godard,3.32,135
8468309,Mark Streit,64.24,580
8468427,Brian Pothier,4.76,70
8468432,Steve Reinprecht,30.56,183
8468434,Andy McDonald,67.95,245
8468463,Mathieu Darche,22.2,149
8468478,Mike Weaver,9.31,429
8468482,Dany Heatley,146.25,443
8468483,Marian Gaborik,174.59,550
8468484,Rostislav Klesla,11.11,249
8468485,Raffi Torres,45.52,327
8468486,Scott Hartnell,180.01,733
8468493,Ron Hainsey,44.91,887
8468498,Brooks Orpik,16.99,736
8468499,Krys Kolanos,4.92,34
8468500,Alex Frolov,54.29,201
8468501,Anton Volchenkov,16.54,400
8468502,David Hale,2.17,112
8468503,Nathan Smith,0.09,9
8468504,Brad Boyes,129.98,576
8468505,Steve Ott,86.65,574
8468506,Brian Sutherby,13.09,155
8468508,Justin Williams,217.01,804
8468509,Niklas Kronwall,60.81,771
8468510,Jeff Taffe,2.64,35
8468513,Nick Schultz,21.45,619
8468515,Brad Winchester,30.17,271
8468517,Andy Hilbert,11.49,71
8468518,Tomas Kopecky,74.33,473
8468520,Kurtis Foster,22.32,229
8468523,Matt Pettinger,10,68
8468526,Jarret Stoll,86.18,586
8468534,Andreas Lilja,4.74,181
8468535,Antoine Vermette,152.83,748
8468542,Paul Martin,30.71,564
8468548,Joel Lundqvist,2.49,43
8468560,Ryan Bayda,5.6,70
8468568,Kurt Sauer,1.54,68
8468575,Dominic Moore,95.22,672
8468577,Niclas Wallin,6.71,206
8468584,Jon Disalvatore,0.18,1
8468598,Lubomir Visnovsky,38.71,384
8468599,Brian Fahey,0.06,7
8468604,Michel Ouellet,0.17,3
8468611,Matt Hendricks,60.55,607
8468626,David Koci,2.35,115
8468635,Travis Moen,52.67,467
8468636,Greg Zanon,8.78,345
8468639,John-Michael Liles,44.72,523
8468647,Craig Weller,1.93,36
8468650,Erik Reitz,0.65,42
8468660,Darcy Hordichuk,7.12,239
8468674,Deryk Engelland,22.57,671
8468695,Matthew Lombardi,47.72,237
8468700,Paul Gaustad,59.74,512
8468704,Antti Miettinen,54.72,301
8468707,Guillaume Lefebvre,0.03,1
8468714,Janis Sprukts,0.17,1
8468745,Jean-Philippe Cote,0.52,19
8468778,Colton Orr,13.5,314
8468786,Riley Cote,1.91,78
8468789,Jason Williams,22.59,159
8468846,Tyler Sloan,3.27,99
8468868,Ben Ondrus,0.29,11
8468881,Jason Jaffray,2.36,30
8468884,Mitchell Fritz,0.23,20
8468887,Warren Peters,5.87,96
8468927,Steve Montador,17.65,281
8469044,Wade Brookbank,1.24,27
8469120,Raitis Ivanans,4.33,139
8469454,Ilya Kovalchuk,143.54,460
8469455,Jason Spezza,212.27,925
8469457,Stephen Weiss,86.3,409
8469459,Mikko Koivu,179.65,832
8469460,Mike Komisarek,6.72,256
8469462,Tuomo Ruutu,103.66,489
8469464,Fredrik Sjostrom,18.78,210
8469465,Dan Hamhuis,45.31,824
8469466,Ales Hemsky,95.19,496
8469467,Chuck Kobasew,45.82,307
8469469,R.J. Umberger,136.92,550
8469470,Carlo Colaiacovo,21.63,368
8469472,Shaone Morrisonn,5.58,202
8469473,Marcel Goc,60.7,426
8469474,Colby Armstrong,39.37,277
8469475,Jiri Novotny,4.11,42
8469476,Tim Gleason,14.37,464
8469477,Lukas Krajicek,4.48,121
8469480,Jeff Woywitka,8.83,190
8469483,David Steckel,37.07,346
8469485,Derek Roy,110,466
8469488,Mark Popovic,1.14,37
8469490,Tim Jackman,48.2,415
8469492,Fedor Tyutin,40.62,620
8469500,Michael Cammalleri,163.26,622
8469501,Chris Thorburn,51.38,687
8469505,Noah Welch,1.03,42
8469506,Jason Pominville,180.25,838
8469508,Jay McClement,80.8,677
8469509,Nathan Paetsch,2.39,44
8469516,Brendan Bell,3.9,54
8469521,Tomas Plekanec,169.52,770
8469528,Garth Murray,1.06,10
8469531,Jay Harrison,19.17,358
8469534,Aaron Johnson,7.59,146
8469542,Stephane Veilleux,21.66,226
8469543,Evgeny Artyukhin,11.81,127
8469544,Patrick Sharp,189.24,663
8469547,Jordin Tootoo,50.77,491
8469555,Christian Ehrhoff,54.88,525
8469564,Richard Petiot,0.44,13
8469575,Christoph Schubert,5.62,97
8469581,Kyle Wellwood,48.15,299
8469582,Colin Stuart,4.42,38
8469584,Joel Perrault,1.96,16
8469587,Tomas Plihal,6.56,64
8469591,Cody McCormick,19.74,270
8469598,Kevin Bieksa,56.92,653
8469619,Dennis Seidenberg,34.77,634
8469622,Ryane Clowe,97.88,399
8469623,Marek Zidlicky,51.64,529
8469626,Andrew Alberts,6.27,274
8469629,Tom Cavanagh,1.27,17
8469638,Jussi Jokinen,125.47,714
8469639,Brooks Laich,123.94,543
8469647,Derek Boogaard,4.9,131
8469664,David Moss,80.19,418
8469665,Johnny Oduya,27.25,699
8469666,Brandon Bochenski,5.86,35
8469670,Marek Svatos,27.82,151
8469672,Aaron Voros,9.7,107
8469681,Ryan Hollweg,1.66,27
8469684,Milan Jurcina,13.36,233
8469685,Andrew Murray,19.03,181
8469689,Tomas Mojzis,0.01,4
8469707,PA Parenteau,100.75,486
8469733,Cam Paddock,0.94,16
8469752,Pascal Pelletier,0.93,10
8469755,Brandon Segal,9.16,103
8469759,Vernon Fiddler,78.23,650
8469760,Zbynek Michalek,21.45,521
8469765,Marc-Andre Bergeron,23.09,223
8469770,Dennis Wideman,61.25,591
8469779,Keith Aucoin,9.08,92
8469798,Maxime Fortunus,0.14,9
8469812,Chad LaRose,75.89,320
8469820,Zenon Konopka,16.43,314
8469844,Josh Gratton,1.05,19
8469919,Thomas Pock,2.12,59
8469920,Graham Mink,0.18,2
8469992,Sheldon Brookbank,9.7,304
8470004,Jeff Hoggan,0.59,8
8470005,Mark Cullen,0.34,6
8470018,Matt Ellis,27.62,286
8470039,Tomas Fleischmann,109.59,539
8470041,Rick Nash,224.14,695
8470047,Valtteri Filppula,139.24,900
8470054,Keith Ballard,17.95,371
8470058,Staffan Kronwall,0.84,14
8470061,Derek Meech,5.63,108
8470063,Adam Burish,29.51,288
8470064,Steven Goertzen,1.34,22
8470065,Ryan Craig,6.81,71
8470072,Petr Prucha,24.76,136
8470085,Paul Ranger,6.67,103
8470086,Joe Callahan,1.12,46
8470101,Tim Conboy,1.43,39
8470104,Tom Gilbert,35.68,561
8470105,Scottie Upshall,98.27,602
8470110,Trevor Daley,64.4,792
8470113,John Zeiler,0.54,31
8470119,Brett Skinner,0.07,11
8470120,Alexander Semin,127.73,458
8470121,Matt Greene,12.25,464
8470123,Cam Janssen,6.77,229
8470131,Dwight Helminen,1.6,26
8470136,Nathan Oystrick,3.02,65
8470137,Joni Pitkanen,26.52,266
8470144,Frans Nielsen,159.03,892
8470151,Jay Bouwmeester,62.68,852
8470152,Joakim Lindstrom,13.97,113
8470153,Pierre-Marc Bouchard,38.04,239
8470156,Joey Crabb,19.2,179
8470159,Boyd Gordon,49.94,503
8470162,Matt Stajan,95.9,688
8470169,Gregory Campbell,71.58,577
8470170,Ole-Kristian Tollefsen,0.98,37
8470171,Max Talbot,68.36,518
8470176,Sean Bergenheim,93.04,382
8470180,Eric Nystrom,57.73,546
8470187,Johnny Boychuk,55.68,721
8470189,David Van Der Gulik,4.27,49
8470192,Steve Eminger,10.01,276
8470199,Barry Tallackson,0.49,4
8470201,Jiri Hudler,98.96,534
8470203,Greg Mauldin,5.07,30
8470207,Joffrey Lupul,111.59,408
8470222,James Wisniewski,40.92,415
8470223,Yan Stastny,2.45,38
8470225,Ilkka Pikkarainen,1.65,31
8470230,Daniel Paille,57.3,462
8470232,Kris Newbury,1.62,33
8470257,Alexander Steen,169.13,784
8470265,Anton Babchuk,16.57,193
8470268,Denis Grebeshkov,7.13,130
8470273,Ian White,30.27,333
8470274,Chris Higgins,106.59,486
8470280,Ben Eager,26.59,287
8470281,Duncan Keith,86.84,1011
8470283,Tim Brent,14.16,191
8470289,Jim Slater,45.64,370
8470294,DJ King,0.79,30
8470295,Connor James,0.01,1
8470299,Erik Christensen,32.91,234
8470301,Andre Deveaux,2.09,31
8470302,Patrick Dwyer,58,416
8470309,Ryan Whitney,19.25,256
8470310,Aaron Rome,7.45,208
8470317,Nate Guenin,2.99,194
8470318,Jonathan Ericsson,24.65,671
8470321,Patrick Rissmiller,1.9,12
8470324,Josh Gorges,19.12,618
8470329,Chris Campoli,15.52,263
8470358,Alexandre Burrows,160.77,706
8470366,Martin St Pierre,2.07,18
8470370,Charles Linglet,0.56,5
8470373,Jeff Hamilton,2.88,15
8470378,Andre Benoit,10.89,181
8470383,Chris Minard,3.24,25
8470543,Chris Kunitz,170.03,768
8470564,Joseph Motzko,0.87,6
8470575,Tom Preissing,1.8,26
8470578,Freddy Meyer,5.24,106
8470580,Jed Ortmeyer,15.38,116
8470595,Eric Staal,342.34,1036
8470596,Nathan Horton,80.01,336
8470597,Nikolay Zherdev,30.57,138
8470598,Thomas Vanek,235.96,784
8470599,Milan Michalek,135.53,507
8470600,Ryan Suter,100.48,1297
8470601,Braydon Coburn,47.89,847
8470602,Dion Phaneuf,90.62,804
8470603,Andrei Kostitsyn,58.07,273
8470604,Jeff Carter,347.93,1096
8470605,Hugh Jessiman,0.44,2
8470606,Dustin Brown,278.1,1027
8470607,Brent Seabrook,71.42,885
8470608,Robert Nilsson,18.52,124
8470609,Steve Bernier,78.26,459
8470610,Zach Parise,370.75,1010
8470611,Eric Fehr,108.87,604
8470612,Ryan Getzlaf,192.53,944
8470613,Brent Burns,200.54,1230
8470614,Mark Stuart,17.78,558
8470615,Marc-Antoine Pouliot,16.86,114
8470616,Ryan Kesler,223.31,762
8470617,Mike Richards,139.21,538
8470618,Anthony Stewart,27.53,216
8470619,Brian Boyle,136.19,862
8470620,Jeff Tambellini,29.13,163
8470621,Corey Perry,372.41,1184
8470622,Patrick Eaves,87.89,465
8470623,Shawn Belle,0.34,11
8470625,Ryan Stone,3.6,29
8470626,Loui Eriksson,205.67,921
8470630,Kevin Klein,28.43,608
8470631,Kamil Kreps,12.89,142
8470634,Matt Smaby,1.43,108
8470635,Petr Vrana,0.64,16
8470636,Josh Hennessy,0.47,8
8470638,Patrice Bergeron,345.08,1054
8470639,Dan Fritsche,5.52,50
8470640,Matt Carle,37.12,579
8470642,Shea Weber,126.87,877
8470644,Colin McDonald,19.33,148
8470647,B.J. Crombeen,40.82,437
8470648,Stefan Meyer,1.14,16
8470649,Patrick O'Sullivan,48.92,208
8470651,Jeremy Colliton,2.37,21
8470654,Maxim Lapierre,63.84,514
8470655,David Backes,208.85,843
8470656,David Liffiton,0.11,4
8470661,Jean-Francois Jacques,7.84,113
8470662,Colin Fraser,27.53,353
8470666,Daniel Carcillo,38.21,354
8470667,Clarke MacArthur,102.47,496
8470671,Danny Irmen,0.1,2
8470672,Ryan O'Byrne,6.45,275
8470678,Alexandre Picard,9.98,161
8470680,Ryan Potulny,14.77,82
8470685,Alexander Sulzer,5.26,131
8470687,Zack Stortini,11.52,162
8470697,Philippe Dupuis,10.93,116
8470699,Jan Hejda,17.4,506
8470700,Byron Bitz,7.56,97
8470704,Jamie Tardif,0.01,2
8470705,Corey Locke,0.83,8
8470708,Guillaume Desbiens,0.85,23
8470713,Paul Bissonnette,8.35,202
8470714,Corey Potter,6.04,130
8470719,Alexandre Bolduc,4.24,65
8470724,Kyle Quincey,40.82,573
8470729,Tyson Strachan,6.01,186
8470735,Greg Moore,0.11,4
8470737,Brett Sterling,2.63,17
8470740,Lee Stempniak,159.04,692
8470741,Nigel Dawes,22.1,142
8470743,Lasse Kukkonen,0.31,22
8470750,John Mitchell,70.27,547
8470755,Brad Richardson,106.51,733
8470760,Marc Methot,19.98,594
8470774,Bruno Gervais,15.74,279
